task_id,short_description,historical_pass_rate,soft_inverse_weight,weight_snapshot,source_note
01,Ordered-map JSONPath API,0.788571,7.925442,2026-07-15-1722,Codex Radar public task matrix 276/350
02,Module loading and cache behavior,0.797143,7.882717,2026-07-15-1722,Codex Radar public task matrix 279/350
03,HTTPX multipart response parsing,0.942857,7.248048,2026-07-15-1722,Codex Radar public task matrix 330/350
04,Bandit incremental cache controls,0.397143,11.167877,2026-07-15-1722,Codex Radar public task matrix 139/350
05,IPython session replay behavior,0.382857,11.374324,2026-07-15-1722,Codex Radar public task matrix 134/350
06,ofetch origin-aware circuit breaker,0.940000,7.259055,2026-07-15-1722,Codex Radar public task matrix 329/350
07,Wiki and Markdown link conversion,0.168571,17.141626,2026-07-15-1722,Codex Radar public task matrix 59/350
08,CSS lexer abbreviation conversion,0.502857,9.924798,2026-07-15-1722,Codex Radar public task matrix 176/350
09,fd deterministic multi-key sorting,0.402857,11.088389,2026-07-15-1722,Codex Radar public task matrix 141/350
10,Stylesheet selector structure,0.613181,8.987726,2026-07-15-1722,Codex Radar public task matrix 214/349
